b,chi,k,lambdaP,p,phi,psi,psi1,psi2,psi3,q,r,score
2,1.597084423,3,0.650384836,0.555874275,2.940511122,0.702613843,0.667363316,0.500742449,0.51843942,8,9,234.2689076
7,0.914093806,2,0.613290636,0.493066016,4.939635143,1.084145265,0.485445387,0.530682563,0.359923277,9,6,234.2689076
5,2.434480191,3,0.28622438,0.495611424,3.65834441,0.604538127,0.479614576,0.472680947,0.104893686,9,6,234.2689076
5,0.53483202,5,0.294706768,0.170274395,3.030494811,0.414134903,0.500440815,0.579464438,0.681788331,8,10,234.2689076
5,0.167744912,5,0.840965937,0.725526487,2.213509629,0.402108737,0.49021239,0.763729454,0.791135402,8,7,234.2689076
4,0.620934762,5,0.289704805,0.746908092,2.470037624,0.629520319,0.446930765,0.801428063,0.801084589,8,9,234.2689076
4,0.533455615,5,0.969504477,0.726769,3.116160227,0.251602282,0.6229042,0.818035321,0.803177987,6,10,234.2689076
6,0.512178733,6,0.928008315,0.875446608,0.680389876,0.855581964,0.588851286,0.846253118,0.795361964,4,10,234.2689076
3,2.153726574,4,0.88462546,0.812249594,3.166587537,0.527091522,0.631403015,0.844121015,0.703993275,2,10,234.2689076
2,2.688887194,3,0.260650445,0.899057261,3.672135186,0.742893802,0.538891389,0.824928344,0.566421957,2,9,234.2689076
4,1.00985032,6,0.987265139,0.816892822,4.899349893,0.509457714,0.577876191,0.804564871,0.853108877,4,10,234.2689076
5,0.449358317,5,0.962381792,0.764227617,3.182016645,0.261958972,0.634536513,0.846973162,0.733189939,6,10,234.2689076
8,0.108036164,2,0.712455605,0.839419383,2.775031864,1.026457375,0.612877704,0.847873832,0.556146072,7,9,234.2689076
1,3.428169643,3,0.42763139,0.599934325,4.012302223,0.653278124,0.665848614,0.141933936,0.590513709,6,8,234.2689076
7,2.530531551,2,0.57334008,0.452798211,3.476596877,0.897020562,0.629162565,0.282116269,0.691233284,5,6,234.2689076
8,3.732845858,2,0.653034092,0.492103661,4.078750702,1.273913492,0.509896015,0.848629291,0.596044514,6,7,234.2689076
8,4.421573874,2,0.64213576,0.753938837,2.332284004,1.302224456,0.47928661,0.852529953,0.713722344,7,7,234.2689076
9,4.054013213,2,0.622907436,0.495322962,3.824508083,1.719065939,0.398479712,0.869380957,0.652673704,6,6,234.2689076
8,4.281207102,2,0.68778601,0.451373254,3.307837526,1.413247239,0.201503525,0.832021799,0.60464865,5,6,234.2689076
1,0.160878657,5,0.237775599,0.655606526,2.255840073,0.324106953,0.541911265,0.700033641,0.553856915,8,8,234.2689076
8,4.826807733,2,0.60323705,0.348930504,2.627485381,1.244051307,0.602597517,0.52083743,0.422124473,6,7,234.2689076
1,0.383494551,3,0.156720092,0.646967442,1.431308057,0.35614422,0.556535328,0.714236968,0.86774121,8,8,234.2689076
1,3.268820113,2,0.508324315,0.396252398,0.965476111,2.578235682,0.668229073,0.48551669,0.535029908,6,9,234.5016216
8,1.396123814,2,0.622798936,0.801912993,1.860814126,2.181766205,0.695855091,0.607270862,0.43814425,7,2,234.5016216
7,2.102783619,3,0.360511384,0.456103863,4.090504775,1.612533182,0.503810442,0.427118797,0.114360521,8,5,234.5016216
7,1.52799489,3,0.723033164,0.421535466,4.99408696,1.483743216,0.321711438,0.223294312,0.300181461,2,8,234.5016216
10,0.251178492,4,0.246418768,0.31827983,3.227492388,0.994126107,0.528997107,0.553091202,0.636804982,8,10,234.5016216
4,0.768892961,6,0.952335166,0.795055441,0.699659427,1.697222613,0.651428052,0.829441772,0.845763012,4,10,234.5016216
3,1.413791178,4,0.818997871,0.787313622,3.120262343,0.963893275,0.762471469,0.627015476,0.354471325,5,10,234.5016216
3,1.927972733,4,0.867135139,0.881099154,3.176848905,0.850095422,0.686628262,0.181703281,0.636056265,2,9,234.5016216
6,4.745302346,3,0.256654738,0.103193889,3.902045279,0.751236901,0.511378859,0.252711328,0.613727292,5,9,234.5016216
7,3.189768731,2,0.535465687,0.385711506,3.491371726,1.143142159,0.62907208,0.140268803,0.637745317,6,5,234.5016216
3,0.563598179,4,0.865296078,0.657545769,1.228892932,0.208706231,0.55865571,0.666369561,0.838044635,8,9,234.5016216
1,1.146448821,2,0.62003111,0.479079953,3.344084313,1.121130601,0.142132277,0.824754161,0.564420293,5,5,234.5016216
1,2.231565761,4,0.747209802,0.877805146,2.818708652,0.964357179,0.580853264,0.848861125,0.503671296,2,9,234.5016216
4,2.091420545,4,0.288891089,0.630939065,3.039144061,0.100535151,0.555866318,0.455190695,0.748662922,8,10,234.5016216
2,2.398099806,3,0.352607908,0.554665778,3.585964977,0.611731765,0.66489645,0.387400593,0.228676992,10,10,234.5016216
